tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,sentiment
42,115721,True,Tue Oct 31 22:06:21 +0000 2017,@115722 MD. And this was sent to the wrong address https://t.co/dMQ1WZXJOk,40,46.0,negative
46,115722,True,Tue Oct 31 22:04:29 +0000 2017,"@115721 Hello Duke, Do you have a copy of your bill? What state are your services located in?
^NHP",42,47.0,negative
47,115721,True,Tue Oct 31 22:01:42 +0000 2017,@115722 Nobody can find my account or number. I walked out of a store with this. I've explained that they can find my acct via my devices serial #..,46,48.0,negative
48,115722,True,Tue Oct 31 21:49:31 +0000 2017,"@115721 Are you referring to wireless or residential service?
^JAY",47,49.0,negative
49,115721,True,Tue Oct 31 21:42:09 +0000 2017,"@115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equipment # and give me an acct #!",48,,negative
51,115723,True,Tue Oct 31 22:04:57 +0000 2017,"@VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet",50,52.0,negative
53,115723,True,Tue Oct 31 21:58:39 +0000 2017,@VerizonSupport Just randomly boots me offline there it goes again,52,54.0,negative
55,115723,True,Tue Oct 31 20:09:13 +0000 2017,@VerizonSupport Yep,54,56.0,positive
57,115723,True,Tue Oct 31 19:58:22 +0000 2017,@VerizonSupport Cuts out every 20 minutes this is ridiculous,56,58.0,negative
59,115723,True,Tue Oct 31 19:54:51 +0000 2017,@115722 is the worst ISP I’ve ever had,58,,negative
61,115724,True,Tue Oct 31 22:00:36 +0000 2017,".@VerizonSupport @115725 @115726                                                 &gt;All of VERIZON IS DOWN&lt;
When can we expect a fix ?",60,,negative
63,115727,True,Tue Oct 31 21:56:55 +0000 2017,@115725 fix your app it won't even open,62,,negative
65,115728,True,Tue Oct 31 22:15:30 +0000 2017,@ChipotleTweets @ChipotleTweets Becky is very nice,,64.0,positive
66,115728,True,Tue Oct 31 22:03:38 +0000 2017,"@ChipotleTweets @28 
I don't fit in my Veggie Burrito costume #Halloween https://t.co/7tJDVpzLWn","64,67",,negative
69,115729,True,Tue Oct 31 22:03:32 +0000 2017,@ChipotleTweets messed up today and didn’t give me my $3 burrito although I was dressed up 😭,68,,negative
71,115730,True,Tue Oct 31 22:03:06 +0000 2017,hey @ChipotleTweets wanna come to Mammoth. I'll at least eat there once a week i promise,"70,72",,positive
74,115731,True,Tue Oct 31 22:01:57 +0000 2017,"@ChipotleTweets I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind!",73,75.0,positive
76,115731,True,Tue Oct 31 20:21:10 +0000 2017,When you're the only one in costume #boorito @ChipotleTweets,75,,negative
78,115732,True,Tue Oct 31 22:01:40 +0000 2017,@ChipotleTweets no Diet Coke and a literal bone this Boorito was extra spooky! https://t.co/C4oCCtdUct,77,,negative
80,115733,True,Tue Oct 31 22:01:32 +0000 2017,"@ChipotleTweets If you get queso or quac on you're bowl, its extra?",79,81.0,positive
153,115734,True,Tue Oct 31 22:01:03 +0000 2017,"Happy Halloween! Since I'm too old to trick or treat I now look forward to $3 booritos at @ChipotleTweets 👻 I got mine earlier, did you?",152,,positive
155,115735,True,Tue Oct 31 22:00:46 +0000 2017,@ChipotleTweets Thank you @ChipotleTweets for resolving my issue so quickly!! Y’all are the best ☺️ #fanforlife,154,156.0,positive
156,115735,True,Mon Oct 23 03:19:06 +0000 2017,So frustrated with @ChipotleTweets 😡 Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice,"155,157",,negative
159,115736,True,Tue Oct 31 22:00:10 +0000 2017,"Btw @ChipotleTweets giving out $3 burritos if you dress up for Halloween 🎃 Call your Chipotle to make sure, they’re doing it @ select ones",158,,positive
161,115737,True,Tue Oct 31 21:59:25 +0000 2017,"@ChipotleTweets Tried, didn't work. How rude :/",160,162.0,negative
163,115737,True,Tue Oct 31 19:43:47 +0000 2017,@ChipotleTweets can I dress up as myself and still qualify for a BOORITO?,162,,negative
165,115738,True,Tue Oct 31 21:58:28 +0000 2017,"Every year, my trick-or-treating routine is walking to Chipotle, spending 3 dollars and walking back home. @ChipotleTweets",164,,positive
167,115739,True,Tue Oct 31 21:57:58 +0000 2017,@ChipotleTweets this is nasty. A used napkin in someone's food https://t.co/EkWiD9vhnr,166,,negative
169,115740,True,Tue Oct 31 21:57:23 +0000 2017,$3 burritos and I’m nowhere near a @ChipotleTweets 🤦🏾‍♂️,168,,negative
171,115741,True,Tue Oct 31 21:57:23 +0000 2017,@ChipotleTweets Also I got the onesie at target. So cozy,170,172.0,positive
172,115741,True,Tue Oct 31 21:57:08 +0000 2017,@ChipotleTweets Thanks Becky! Just feeling sorry for myself because my fiancé is driving from D.C. To Mississippi tonight,"173,171",174.0,negative
175,115741,True,Tue Oct 31 21:54:13 +0000 2017,Considering walking to @ChipotleTweets in my llama onesie alone happy Halloween 😭,174,,negative
177,115742,True,Tue Oct 31 21:57:19 +0000 2017,@ChipotleTweets name a better halloween duo #speedwaybrick #UTtranscript https://t.co/5ShDRMlC1T,176,,negative
179,115744,True,Tue Oct 31 22:17:05 +0000 2017,@AskPlayStation @115743 Can I get help already??,,178.0,negative
180,115743,True,Tue Oct 31 08:17:37 +0000 2017,"@AskPlayStation So, what's the november ps plus free game?","178,181",,positive
183,115745,True,Tue Oct 31 22:06:44 +0000 2017,@AskPlayStation It was when I would go to download it. I just waited a few hours till after I bought it and it downloaded now.,182,184.0,positive
185,115745,True,Tue Oct 31 08:14:24 +0000 2017,@AskPlayStation I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted..,"184,186",,negative
188,115746,True,Tue Oct 31 07:58:24 +0000 2017,@AskPlayStation can i block a community from sending me invites to something i dont want to join,"187,189",,negative
191,115747,True,Tue Oct 31 18:29:42 +0000 2017,We had to have a Count Colin 💛 @marksandspencer xx... https://t.co/HVWkevFsKB,190,,positive
193,115748,True,Tue Oct 31 17:58:45 +0000 2017,"‘Ere @marksandspencer, never mind avocado 🥑 - How’s about ‘ave a word?
Is it really necessary? 

The pair of ‘em were suffocating. https://t.co/ff2bmOVido",192,,negative
195,115749,True,Tue Oct 31 23:40:34 +0000 2017,@marksandspencer Raw meat!!!! It’s does not say unwrapped raw meat!!! Sainsbury’s don’t charge nor do Waitrose so y do you?!,199,194.0,negative
200,115749,True,Wed Nov 01 15:54:37 +0000 2017,@marksandspencer I check with the Gov office and legal. They stated you are not right. But it’s funny how the other stores don’t but you do. No wonder Lidl and the rest are beating you.,,199.0,negative
196,115749,True,Tue Oct 31 23:35:13 +0000 2017,"@marksandspencer ou must charge at least 5p a bag (including VAT) for carrier bags that are all of the following:

unused - it’s new and hasn’t already been used for sold goods to be taken away or delivered
plastic and 70 microns thick or less
it has handles, an opening and isn’t sealed",,194.0,negative
197,115749,True,Tue Oct 31 23:38:53 +0000 2017,"@marksandspencer aren’t require charge 4 a bag:
paper bags
shops in airports, or on board trains, aeroplanes or ships
bags which only contain certain items, such as unwrapped food, raw meat and fish where there is a food safety risk, prescription medicines, uncovered blades, seeds, bulbs &amp; 🌷s",,194.0,negative
198,115749,True,Tue Oct 31 17:56:34 +0000 2017,@marksandspencer y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service.,194,,negative
202,115750,True,Tue Oct 31 20:20:57 +0000 2017,Excellent Halloweening @marksandspencer 👌🏼 #countcolin #halloween #food https://t.co/lq1cSooHdj,201,,positive
204,115751,True,Tue Oct 31 22:09:13 +0000 2017,"@MicrosoftHelps @XboxSupport Brilliant, thank you!",,203.0,positive
205,115751,True,Tue Oct 31 22:04:20 +0000 2017,"@MicrosoftHelps hi, having trouble making purchases on Xbox one store for fifa points, can you help?","203,206",,positive
208,115752,True,Tue Oct 31 20:28:11 +0000 2017,@MicrosoftHelps I need assistance recovering 2 hotmail accounts. I have  filled the recovery forms but am told am not providing enough info,207,,positive
210,115753,True,Tue Oct 31 19:54:00 +0000 2017,@ATVIAssist @115754 umm someone is streaming WWII with 500+ viewers https://t.co/AhBT7AZZSz,209,,positive
212,115756,True,Thu Nov 02 04:03:21 +0000 2017,@ATVIAssist @115755 I'm trying to buy the digital deluxe edition on the ps store but I keep receiving an error message,214,211.0,negative
213,115755,True,Tue Oct 31 22:05:44 +0000 2017,@ATVIAssist Thanks,211,215.0,positive
216,115755,True,Tue Oct 31 19:17:18 +0000 2017,@ATVIAssist can you still pre oder ww2 on the playstation store,215,,positive
218,115757,True,Tue Oct 31 19:19:16 +0000 2017,@115758 @ATVIAssist Are yous going to update COD Zombies on IOS for IOS 11.,217,,negative
220,115759,True,Tue Oct 31 19:15:05 +0000 2017,@115758 Why was there a half gig update for world at war?,219,,negative
222,115760,True,Tue Oct 31 19:05:30 +0000 2017,@108162 @115761 @ATVIAssist tried that there was people so i came back,221,223.0,negative
225,115762,True,Tue Oct 31 21:59:50 +0000 2017,"@ATVIAssist So, when I go get the game on friday my 2xp code will be on the receipt?",227,224.0,negative
228,115762,True,Tue Oct 31 22:09:58 +0000 2017,"@ATVIAssist Yes, the beta code",229,227.0,positive
230,115762,True,Tue Oct 31 23:04:49 +0000 2017,"@ATVIAssist Yes I have, so my code is on their?",,229.0,positive
226,115762,True,Tue Oct 31 20:10:09 +0000 2017,@ATVIAssist I pre ordered my game at game stop,224,231.0,negative
232,115762,True,Tue Oct 31 05:55:34 +0000 2017,@ATVIAssist For double xp^,"233,231",234.0,positive
234,115762,True,Tue Oct 31 05:55:08 +0000 2017,@ATVIAssist i pre ordered wwii but how do i get the code?,232,,negative
236,115763,True,Tue Oct 31 21:54:17 +0000 2017,@ATVIAssist Seth_tubbs and I am on PS4,,235.0,positive
237,115763,True,Tue Oct 31 21:05:07 +0000 2017,@ATVIAssist I got all of my stats reset on MWR and I don't know why. please help!!!,235,,negative
239,115764,True,Tue Oct 31 18:45:59 +0000 2017,"@115754 @115765 @ATVIAssist @115766 

Will non season pass holders get the bobus man Carentan at any point? Or not at all?",238,,negative
241,115767,True,Wed Nov 01 00:29:55 +0000 2017,"@AdobeCare Didn't work. Tried it on another computer, fresh install, same thing...",243,240.0,negative
244,115767,True,Wed Nov 01 01:30:43 +0000 2017,@AdobeCare sure thing,,243.0,positive
242,115767,True,Tue Oct 31 22:11:01 +0000 2017,@AdobeCare the ctrl+alt+shift on load method didn't work. (2/2),240,245.0,negative
247,115767,True,Tue Oct 31 20:54:13 +0000 2017,@AdobeCare Pretty much explained my issue in the quoted tweet... dragging an image onto a canvas no longer center snaps it...,"245,248",249.0,negative
250,115767,True,Tue Oct 31 20:49:12 +0000 2017,Any help here @AdobeCare? https://t.co/x50e57UG4E,249,,negative
252,115768,True,Tue Oct 31 22:13:01 +0000 2017,@AdobeCare nope still down.,254,251.0,negative
255,115768,True,Tue Oct 31 22:20:19 +0000 2017,@AdobeCare yes ive done that multiple times. its happened on previous versions as well.,256,254.0,neutral
257,115768,True,Tue Oct 31 22:24:47 +0000 2017,@AdobeCare ok,,256.0,positive
258,115768,True,Fri Nov 03 00:39:32 +0000 2017,@AdobeCare so..when are they available?,259,256.0,positive
260,115768,True,Fri Nov 03 05:29:47 +0000 2017,@AdobeCare ok. its been very frustrating. i have multiple jobs that i need finished and your application isnt helping.,261,259.0,negative
262,115768,True,Mon Nov 06 16:23:56 +0000 2017,@AdobeCare no its still broken. i deleted it and will probably be getting rid of my membership and return when its working properly. thanks,"263,264",261.0,negative
265,115768,True,Mon Nov 06 17:04:37 +0000 2017,@AdobeCare ill just wait for the next big update. ive wasted my time and patience with adobe products,267,263.0,negative
266,115768,True,Mon Nov 06 17:04:00 +0000 2017,@AdobeCare yea ive done everything you guys told me to do. i know its not my mac either as i have the retina imac which is fairly new.,,263.0,positive
268,115768,True,Mon Nov 06 16:54:02 +0000 2017,@AdobeCare you guys have been saying that for weeks now. your product went from being great to now unable to work and terrible. very disappointed.,,264.0,negative
253,115768,True,Sun Oct 29 21:02:31 +0000 2017,@115769 whats going on with your app. its totally stuck here for 1 hour and prior to updating froze and didnt work since updating. https://t.co/UpoCzPNqFb,251,,negative
270,115770,True,Wed Nov 22 09:24:30 +0000 2017,"@AmazonHelp ありがとうございます。
今、電話で主人が対応していただいてます。",,269.0,negative
271,115770,True,Wed Nov 22 09:30:36 +0000 2017,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",273,269.0,negative
274,115770,True,Wed Nov 22 09:44:04 +0000 2017,@AmazonHelp こちらこそありがとうございました。,275,273.0,negative
272,115770,True,Wed Nov 22 09:14:39 +0000 2017,amazonのfireTVstickが見れない😢,269,,negative
277,115771,True,Sat Dec 02 09:17:57 +0000 2017,"@XboxSupport can I change me sons Xbox live account to his Hotmail account, currently linked to my Hotmail account",276,,neutral
279,115772,True,Sat Oct 28 19:29:38 +0000 2017,@115769 Did u release an update today for Lightroom Classic CC?,278,,positive
281,115773,True,Sat Oct 28 23:11:01 +0000 2017,"Please tell me why my @115769 has expired, but I’m still being charged????",280,,negative
283,115774,True,Sat Oct 28 13:37:52 +0000 2017,@115769 are there any plans to add a fast crop mode for the iPad version of LR? It takes too many taps and slows down workflow.,282,,negative
285,115775,True,Tue Oct 31 20:16:08 +0000 2017,"@AdobeCare @115776 It’s intermittent for me. This file fails reliably: https://t.co/6m5a1RQEV9

The “Create subfolder” option just makes an empty “svg” folder","284,286",287.0,negative
288,115776,True,Thu Oct 26 18:13:19 +0000 2017,"@AdobeCare Seems pretty widespread: https://t.co/ImomzTHO5j

Don't mean to be a jerk, but it's frustrating when an update breaks core functionality.",287,289.0,negative
290,115776,True,Thu Oct 26 17:20:44 +0000 2017,So apparently the new version of @115777 @115778 has this cool feature where you can't export SVGs. Sick update guys.,289,,negative
292,115779,True,Fri Oct 27 13:53:45 +0000 2017,@115769 I'm worried as if I update my LR6 standalone programme I could lose it due to the new online version....is this true and if so is this fair!,291,293.0,negative
293,115769,True,Wed Oct 18 14:07:45 +0000 2017,"Whoa! Come along with Lightroom’s own Ben Warde to get the lowdown: https://t.co/f1FGfdJaNk
https://t.co/6fsIV6WLRV",292,,positive
295,115780,True,Tue Oct 31 17:01:38 +0000 2017,@115777 your online forum is always broken even when I clear my cookies. https://t.co/dDwRPWnm3t,294,,negative
297,115781,True,Thu Nov 02 19:11:14 +0000 2017,"@AdobeCare Here is an example of an export before and after. Export settings are unchanged from default. No, only some files. https://t.co/YbCX6dmddc","299,300",296.0,neutral
301,115781,True,Fri Nov 03 15:01:38 +0000 2017,@AdobeCare Solved this via phone support,,300.0,positive
298,115781,True,Tue Oct 31 18:07:49 +0000 2017,"@AdobeCare InDesign 13.0 is exporting all PDFs with blurry links, but links are not missing in INDD file. JPG export is not blurry. Help!","296,302",,negative
304,115782,True,Tue Oct 31 22:04:54 +0000 2017,@AirbnbHelp I've just sent you a message with details. Thanks for your help,303,305.0,positive
306,115782,True,Tue Oct 31 21:43:40 +0000 2017,"Quand ton @115783 ne ressemble pas à celui que tu as réservé, &amp; qu'en + d'être sale et en sous-sol, tu te retrouves à 10 dans 1 #logement ! https://t.co/BcEIHe38tq",305,,negative
308,115784,True,Tue Oct 31 21:48:16 +0000 2017,@115783 Misrepresentation by host. Asked them to cancel my reservation and refund me over AUD1700 - strict policy. No response. Please help.,307,,negative
310,115785,True,Tue Oct 31 22:14:11 +0000 2017,@XboxSupport They have no info either..,312,309.0,negative
313,115785,True,Wed Nov 01 00:50:56 +0000 2017,@XboxSupport Lol so there's no one @115786 who can say when they're going to be shipped...? That's kinda weird,"314,315",312.0,negative
314,115785,True,Wed Nov 01 00:59:24 +0000 2017,@XboxSupport @115786 When someone @115786 or @15913 @115787 @115788 knows when the xbox one x ships let us know.  Lol shouldn't b a mystery..,,313.0,positive
316,115785,True,Wed Nov 01 01:13:10 +0000 2017,"@XboxSupport @115786 Kinda need to make sure I have 680$ cdn in my bank, so would be nice to know.. I dun just have cash laying around ya know #RealLifeStruggles",,315.0,negative
317,115785,True,Wed Nov 01 01:11:28 +0000 2017,@XboxSupport @115786 Already did they had me call and no one can answer the question.  I'm not trying to be a jerk but it's nuts no one has a answer..,,315.0,negative
311,115785,True,Tue Oct 31 20:04:15 +0000 2017,@XboxSupport @115786 @115787 @15913 Would like to know so I can make sure I have enough money for it...,309,318.0,negative
318,115785,True,Tue Oct 31 20:03:55 +0000 2017,@XboxSupport @115786 @115787 @15913 can anyone let me know when our pre orders are going to be shipped for xbox one x??,311,,negative
320,115789,True,Tue Oct 31 21:17:16 +0000 2017,@115790 @XboxSupport redeemed a code for fifa points this afternoon and still haven't got it. Why is this?,319,,negative
322,115791,True,Wed Nov 01 01:47:45 +0000 2017,@XboxSupport This is what's on my screen? Not sure if it's Xbox side or my5 side that's broken? Last time it was my5 as had to call head office about it! https://t.co/jnMIVOlNbS,,321.0,negative
323,115791,True,Tue Oct 31 19:39:09 +0000 2017,"@1520 @XboxSupport  the 5 app on Xboxes not working error code 200, done a power cycle and still the same? Please fix app",321,,negative
325,115792,True,Wed Nov 22 08:55:35 +0000 2017,amazonプライムビデオ、再生エラーが多いです,324,,negative
327,115793,True,Tue Oct 31 22:03:04 +0000 2017,"@115794 @115795 my colleagues @nationalrailenq for more info on how this is affecting services, thanks. 2/2 ^JP",326,328.0,negative
328,115794,True,Tue Oct 31 21:57:43 +0000 2017,@115795 @115796 Ah maybe @115793 could help on this one,327,329.0,neutral
329,115795,True,Tue Oct 31 21:56:54 +0000 2017,"@115794 @115796 Nothing, partner was on a train to Preston had to get a Taxi rest of way as was told no trains into Preston for a few hours",328,330.0,negative
330,115794,True,Tue Oct 31 21:55:35 +0000 2017,@115795 @115796 What have you seen?,329,331.0,neutral
331,115795,True,Tue Oct 31 21:48:40 +0000 2017,Something going on at Preston train station ? @115796,330,,negative
333,115797,True,Tue Oct 31 23:44:59 +0000 2017,@AirAsiaSupport Hi! I have DM u my booking # and passport picture thanks so much for quick action,335,332.0,positive
336,115797,True,Wed Nov 01 00:01:49 +0000 2017,@AirAsiaSupport thank you very much..,,335.0,positive
337,115797,True,Thu Nov 09 20:15:48 +0000 2017,@AirAsiaSupport Hi! i would like to know on my itenerary on how the birthday can be seen. i would like to double check if i can key in our birthdays right 🙂,338,335.0,positive
339,115797,True,Fri Nov 10 18:03:05 +0000 2017,@AirAsiaSupport but i cant see it. i only see itenerary.. no birthday,340,338.0,negative
341,115797,True,Thu Nov 16 19:21:34 +0000 2017,@AirAsiaSupport Hi Airasia. i want to rebook my return flight. but when i try rebooking my inbond also is rebooking. please help me. thanks,342,340.0,negative
334,115797,True,Tue Oct 31 14:31:46 +0000 2017,@AirAsiaSupport hi!  I have booked my ticket and when i see my itenary has been redundant i call ur customer service to assist but out of line.,332,343.0,negative
347,115797,True,Tue Oct 31 01:57:03 +0000 2017,@AirAsiaSupport lost my booking # chua loreen lee flight z2 129.128 12/22-01/8 taipei-manila. __email__,343,348.0,negative
348,115798,True,Mon Aug 29 03:20:05 +0000 2011,"Lost your booking number? No worries, just drop me the passenger's name, flight details and email. I'll trace it and email u in no time :)","349,350,351,352,347,353,354,355,356,357,358,359,360,361",,positive
363,115799,True,Wed Nov 01 01:12:02 +0000 2017,"@AirAsiaSupport Hi Yana, followed!",365,362.0,positive
364,115799,True,Tue Oct 31 21:35:17 +0000 2017,@AirAsiaSupport Hi Yana I don’t have any DMs from you. Did you mean email?,362,366.0,negative
367,115799,True,Tue Oct 31 10:46:56 +0000 2017,@AirAsiaSupport CAS-19708536-CB92N2 CRM:0326600 Please check on this I haven't heard from my case officer in weeks and provided all docs.,366,,negative
369,115800,True,Tue Oct 31 14:25:55 +0000 2017,@115801 @115802 @AirAsiaSupport You'll be even happier to know that the restrictions around the volcano area have been lifted. Enjoy staying at home pal! 😂😂😂😂 #unlucky,"368,370",371.0,negative
371,115801,True,Wed Oct 25 16:02:42 +0000 2017,@115802 @AirAsiaSupport Why are you not refunding my trip to Bali for Volcano eruption!!! Urgently refund!!,"372,373,369",,negative
344,115797,True,Tue Oct 31 14:32:24 +0000 2017,@AirAsiaSupport my surname has been redundant where do i go to correct it?,"374,375",343.0,negative
377,115803,True,Tue Oct 31 22:30:36 +0000 2017,@Morrisons My lips are sealed 😋,379,376.0,negative
380,115803,True,Tue Oct 31 22:38:55 +0000 2017,"@Morrisons Aahhrrgh! Keep mum, I’m still watching 😄",381,379.0,negative
382,115803,True,Tue Oct 31 22:56:25 +0000 2017,"@Morrisons Aww, Sophie deserved winner 👏😄",,381.0,positive
378,115803,True,Tue Oct 31 21:49:51 +0000 2017,Fresh cream palmier @Morrisons bakery Bellshill gets my vote for #star baker 👨‍🍳😘😋💗just catching up on #gbbo17 don’t know who won yet 😄,376,,positive
384,115804,True,Tue Oct 31 22:08:05 +0000 2017,"@Morrisons That's pointless as it's every day, all the time. No matter when I go in. I speak 2the management who r as fed up as I am. They've no staff.",386,383.0,negative
385,115804,True,Tue Oct 31 21:28:45 +0000 2017,@Morrisons so fed up of this very familiar sight at Houghton Regis. Get more staff &amp; stock the place properly. This is just a small example https://t.co/CummsXx7jc,383,,negative
389,115805,True,Tue Oct 31 21:26:44 +0000 2017,"@Morrisons 3 for £6, unless one is reduced (hidden label on the side!) then it’s 3 for £6.14. Don’t care about the 14p but feel ripped off! https://t.co/jG0fTncMDr","388,390,391",,negative
393,115806,True,Tue Oct 31 21:42:32 +0000 2017,@NikeSupport Thank you nike,392,394.0,positive
395,115806,True,Tue Oct 31 21:29:39 +0000 2017,"@NikeSupport I'm new to nike+ run club app,  should i start with guided runs or my couch?","394,396",,neutral
398,115807,True,Wed Nov 01 05:25:43 +0000 2017,@AskAmex I’ve asked your sales rep about the payments and she wasn’t ready to listen to any issues that I had.,400,397.0,negative
401,115807,True,Wed Nov 01 14:27:35 +0000 2017,@AskAmex Sure. Please drop me a message now.,402,400.0,positive
399,115807,True,Tue Oct 31 21:57:56 +0000 2017,@AskAmex Amex Platinum and Amex everyday card.,397,403.0,positive
404,115807,True,Sun Oct 29 23:07:07 +0000 2017,@AskAmex Nope. They weren’t ready to listen what I wanted to say and if I had any questions about anything else and hung up on me.,403,405.0,negative
406,115807,True,Sun Oct 29 21:48:00 +0000 2017,@AskAmex Thought Amex values their customers. But boy you got really bad reps on the customer service.,405,,negative
408,115808,True,Tue Oct 31 21:04:52 +0000 2017,@McDonalds Treat!,407,409.0,positive
410,115809,True,Tue Oct 31 20:49:10 +0000 2017,@McDonalds Treat me!,598,409.0,positive
487,115810,True,Tue Oct 31 22:01:49 +0000 2017,@McDonalds Can I get uhhhhhhhhhh... treat?,599,409.0,positive
601,115811,True,Tue Oct 31 16:13:35 +0000 2017,"@115812 I cant Connect my Interactive Broker ( Canada) with yahoo finance App in ios 11, Any suggestions.. ??",600,,negative
603,115813,True,Tue Oct 31 21:58:49 +0000 2017,@AskLyft I have to be at work at 2pm tomorrow. My new phone is being overnighted but it may not be there until then. I have no other ride.,602,,negative
605,115814,True,Tue Oct 31 21:57:56 +0000 2017,whats wrong w/ amazon leavin shit outside like ups...🤔,604,,negative
607,115815,True,Tue Oct 31 21:51:09 +0000 2017,@115816 that small biz tyrant a dime yo. nice @115817,606,608.0,negative
608,115816,True,Fri Oct 27 15:48:13 +0000 2017,"Worth the squeeze: when you’ve got us helping you along the way, owning your own #smallbiz can be quite fruitful! https://t.co/AgBM1TRAcD",607,,positive
610,115818,True,Tue Oct 31 22:11:33 +0000 2017,@Delta DM sent,,609.0,positive
611,115818,True,Sat Aug 06 01:31:50 +0000 2016,@DELTA i booked my flight using delta amex card. Checking in now &amp; was being charged for baggage,609,,positive
613,115819,True,Tue Oct 31 22:07:38 +0000 2017,@McDonalds My granny will be attending @ the McD’s in Heaven!  Would give anything to be able to bring her myself!,,612.0,positive
614,115819,True,Thu Oct 19 22:56:27 +0000 2017,My grandma's laying #Poolside thanks to @McDonalds delicious New #ButtermilkCrispyTenders https://t.co/4sy9hatKTi,612,,positive
616,115820,True,Tue Oct 31 23:22:08 +0000 2017,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",618,615.0,negative
619,115820,True,Tue Oct 31 23:32:26 +0000 2017,"@AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today.",,618.0,negative
617,115820,True,Tue Oct 31 22:16:32 +0000 2017,Way to drop the ball on customer service @115821 so pissed right now!,615,,negative
621,115822,True,Tue Oct 31 22:19:34 +0000 2017,@115823 I want my amazon payments account CLOSED.  dm me please.,620,,negative
623,115824,True,Tue Oct 31 22:32:07 +0000 2017,"@AmazonHelp Okay, danke für die Info",625,622.0,positive
624,115824,True,Tue Oct 31 22:12:37 +0000 2017,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?",622,,negative
